carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_number	lap_distance	lap_time	lap_time_invalid	world_position_X	world_position_Y	world_position_Z	world_forward_X	world_forward_Y	world_forward_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_X	gforce_Y	gforce_Z	pit_status	race_position	flags_status	throttle	brake	clutch	steering	gear	rpm	rpm_perc	fuel	tyre_compound_0	tyre_compound_1	tyre_compound_2	tyre_compound_3	yaw	pitch	roll	chassis_yaw	chassis_pitch	susp_pos_0	susp_pos_1	susp_pos_2	susp_pos_3	susp_vel_0	susp_vel_1	susp_vel_2	susp_vel_3	susp_acc_0	susp_acc_1	susp_acc_2	susp_acc_3	susp_roll_0	susp_roll_1	wheel_speed_0	wheel_speed_1	wheel_speed_2	wheel_speed_3	wheel_slip_ratio_0	wheel_slip_ratio_1	wheel_slip_ratio_2	wheel_slip_ratio_3	wheel_slip_angle_0	wheel_slip_angle_1	wheel_slip_angle_2	wheel_slip_angle_3	wheel_angle_0	wheel_angle_1	wheel_angle_2	wheel_angle_3	wheel_lat_force_0	wheel_lat_force_1	wheel_lat_force_2	wheel_lat_force_3	wheel_long_force_0	wheel_long_force_1	wheel_long_force_2	wheel_long_force_3	wheel_vert_force_0	wheel_vert_force_1	wheel_vert_force_2	wheel_vert_force_3	wheel_camber_0	wheel_camber_1	wheel_camber_2	wheel_camber_3	wheel_camber_gain_0	wheel_camber_gain_1	wheel_camber_gain_2	wheel_camber_gain_3	cog_height	angular_vel_X	angular_vel_Y	angular_vel_Z	angular_acc_X	angular_acc_Y	angular_acc_Z	aero_height_0	aero_height_1	weather	track_temp	air_temp	pitSpeedLimit	safetyCarStatus	networkGame	pitIdealLap	pitLatestLap	pitRejoinPos	steeringAssist	brakeAssist	gearAssist	pitAssist	pitReleaseAssist	ersAssist	drsAssist	racingLineAssist	racingLineTypeAssist	gameMode	ruleSet	timeOfDay	sessionLength	num_sc	num_vsc	num_red	eqCarPerf	recoveryMD	flashbackLimit	surfaceType	lowFuelMD	raceStartMD	tyreTempMD	pitTyreMD	carDamageMD	carDamageRate	collisionsMD	collisions1MD	unsafeRelMD	offGriefingMD	cornerCutMD	safetyCarMD	formLapMD	redFlagsMD	safetyCarDelta	penalties	warnings	corner_cut_warnings	startGridPosition	pitLaneTime	pitStopTime	delta_front	delta_leader	speedTrapMax	speedTrapLap	techLevel	platform	wing_setup_0	wing_setup_1	diff_onThrottle_setup	diff_offThrottle_setup	camber_setup_0	camber_setup_1	camber_setup_2	camber_setup_3	toe_setup_0	toe_setup_1	toe_setup_2	toe_setup_3	susp_spring_setup_0	susp_spring_setup_1	susp_spring_setup_2	susp_spring_setup_3	arb_setup_0	arb_setup_1	susp_height_setup_0	susp_height_setup_1	susp_height_setup_2	susp_height_setup_3	brake_press_setup	brake_bias_setup	brake_engine_setup	tyre_press_setup_0	tyre_press_setup_1	tyre_press_setup_2	tyre_press_setup_3	ballast_setup	fuel_setup	drs	brake_temp_0	brake_temp_1	brake_temp_2	brake_temp_3	tyre_temp_0	tyre_temp_1	tyre_temp_2	tyre_temp_3	tyre_tempInternalAir_0	tyre_tempInternalAir_1	tyre_tempInternalAir_2	tyre_tempInternalAir_3	tyre_press_0	tyre_press_1	tyre_press_2	tyre_press_3	terrain_0	terrain_1	terrain_2	terrain_3	engine_temp	suggested_gear	traction_ctrl_setup	abs_setup	fuel_type	fuel_remainingLaps	front_brake_bias	pit_limiter	drs_allowed	drs_distance	tyres_age	ice_power	mguk_power	ers_store	ers_deployMode	ers_harv_mguk	ers_harv_mguh	ers_deployed	tyre_wear_0	tyre_wear_1	tyre_wear_2	tyre_wear_3	tyre_damage_0	tyre_damage_1	tyre_damage_2	tyre_damage_3	tyre_blister_0	tyre_blister_1	tyre_blister_2	tyre_blister_3	brake_damage_0	brake_damage_1	brake_damage_2	brake_damage_3	front_left_wing_damage	front_right_wing_damage	rear_wing_damage	floor_damage	diffuser_damage	sidepod_damage	drs_damage	ers_damage	gear_box_damage	engine_damage	mguh_damage	es_damage	ce_damage	ice_damage	mguk_damage	tc_damage	engine_blown	engine_seized
Mercedes	Suzuka	5809	0	1	0	0	1	1	2.36914	0.016	0	-628.513	-52.5632	-14.5451	-0.64391	0.764458	-0.0309153	0.764763	0.644276	0.00305185	74.3426	-0.283872	-0.0967717	-0.495785	-0.406219	0.318362	0	0	0	0.978256	0.0	0.0	0.00151559	7	10716.0	0.818078	10.0005	18	18	18	18	0.700021	0.030926	-0.00307731	0.00382411	0.00163356	0.585617	0.580012	0.49213	0.480938	7.44246	8.35285	2.49892	21.643	241.09	-219.498	496.866	169.596	0.00034712	0.000725024	74.3364	74.2726	75.6148	75.6439	-0.000416437	-0.000513285	0.0168209	0.0178899	0.000817527	0.00554897	0.00995956	0.000248178	0.000533234	0.000533234	0	0	-617.081	-339.724	-2551.16	427.546	-115.608	-136.204	3967.17	3918.56	5428.66	5011.29	6904.04	6045.19	-0.0509925	-0.0503987	-0.0418934	-0.0412892	-0.00037748	0.000216316	-0.00872942	-0.00812518	0.280658	0.0463049	0.0188144	-0.0343224	0.245809	0.422314	0.963789	0.0124032	0.0166015	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	659.0	645.0	597.0	581.0	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	543898	75249.8	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	6	1	1	6.71582	0.075	0	-631.321	-49.2476	-14.6683	-0.644109	0.764367	-0.0289773	0.764611	0.644444	0.00299081	74.6255	-0.166926	-0.103068	-0.505346	-0.0931881	0.24921	0	0	0	0.977523	0.0	0.0	-0.0121511	7	10755.5	0.821093	10.0005	18	18	18	18	0.700233	0.0289903	-0.00301422	0.00224325	0.00130247	0.5808	0.580047	0.489763	0.48679	-8.61704	4.3615	-12.2698	6.21624	-210.56	147.052	-399.005	182.377	4.66142e-05	0.000192627	74.5683	74.6092	75.8792	75.9364	-0.00041189	-0.00052547	0.0171184	0.0172561	-0.00326782	0.00123698	0.00687663	-0.00292393	-0.00367829	-0.00367829	0	0	30.9346	294.124	-1898.83	1090.03	-107.98	-138.885	3943.28	3878.87	4932.1	4959.69	6614.6	6310.58	-0.0502722	-0.0511226	-0.0418975	-0.0416422	0.000342749	-0.000507616	-0.00873347	-0.00847821	0.280321	0.0190954	0.0255786	0.0382374	-0.28753	-0.0604625	1.27754	0.0130459	0.0163932	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	656.5	642.0	594.0	578.5	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	544912	89083.9	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	12	1	1	12.3247	0.15	0	-634.946	-44.9691	-14.8191	-0.647816	0.761254	-0.0281075	0.761498	0.648122	0.00271615	74.977	0.0882864	-0.122252	-0.484749	0.320523	0.0112382	0	0	0	0.972885	0.0	0.0	-0.0191321	7	10811.0	0.82533	10.0005	18	18	18	18	0.705066	0.0281179	-0.00272791	-0.0011735	0.0012458	0.569805	0.579227	0.479468	0.482487	-19.9051	-7.84211	-4.89235	2.18578	38.7176	-22.9329	409.734	419.699	-0.00058349	-0.000195573	74.8646	75.0171	76.2652	76.3341	-0.000474978	-0.000475718	0.0181586	0.0171777	-0.0065691	-0.00224634	0.0014346	-0.00822577	-0.00582066	-0.00582066	0	0	554.336	773.026	-723.76	2151.16	-111.688	-122.702	3916.97	3862.56	4057.65	4743.14	5916.81	6265.13	-0.0496118	-0.0517722	-0.0414129	-0.04149	0.00100324	-0.0011572	-0.00824894	-0.00832604	0.279492	0.0003329	-0.00622519	0.0937483	-0.42825	-0.769258	0.293351	0.0148218	0.0180235	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	653.0	639.0	590.0	575.0	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	545718	79083.6	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	18	1	1	18.6061	0.233333	0	-639.022	-40.1926	-14.9888	-0.653474	0.756332	-0.0298268	0.756576	0.65385	0.00396741	75.3437	0.295395	-0.162805	-0.462713	0.444516	-0.146282	0	0	0	0.968002	0.0	0.0	-0.0078513	7	10874.3	0.830165	10.0005	18	18	18	18	0.712572	0.0298553	-0.00398762	-0.00391277	0.00196968	0.563932	0.577999	0.460809	0.467459	-2.33829	-2.11619	-17.529	-18.4413	71.2891	-56.5464	262.759	180.777	-0.000871135	-0.000430787	75.2474	75.3712	76.732	76.7593	-0.000496946	-0.0004324	0.0191762	0.0180881	-0.00672293	-0.00228669	-0.000547424	-0.0100041	-0.00239208	-0.00239208	0	0	578.599	769.701	-278.718	2411.78	-113.803	-112.057	3871.73	3862.83	3822.63	4721.95	5315.55	5776.7	-0.0499555	-0.051286	-0.0407191	-0.0410042	0.000659452	-0.000671025	-0.00755513	-0.00784024	0.283641	0.00132987	-0.0310735	0.0747291	0.184566	-0.0974009	-0.571102	0.0167905	0.0218526	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	649.0	635.0	586.0	570.667	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	546747	66839.7	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	24	1	1	24.5933	0.3125	0	-642.926	-35.656	-15.1566	-0.655553	0.75454	-0.0295496	0.754731	0.655981	0.00724052	75.7095	0.239858	-0.11245	-0.5048	0.228454	0.0323683	0	0	0	1.0	0.0	0.0	0.0078539	7	10927.0	0.834186	10.0005	18	18	18	18	0.715304	0.0295756	-0.00726304	-0.00316006	0.00221564	0.571818	0.581525	0.468524	0.466481	9.9857	-2.62035	29.9968	9.06978	-531.812	-648.763	538.487	249.831	-0.00060112	0.000132399	75.6725	75.67	77.1231	77.1063	-0.000545563	-0.00042029	0.0186835	0.0186206	-0.00277591	0.00182629	0.00130242	-0.00811561	0.00264948	0.00264948	0	0	-34.3518	176.821	-701.368	2078.88	-135.44	-111.108	4039.98	4075.46	4474.01	4995.65	5894.39	5994.29	-0.0508434	-0.0504469	-0.0407105	-0.040771	-0.000228439	0.000168118	-0.0075465	-0.00760703	0.283074	0.054892	-0.0223497	-0.00573454	0.426798	0.408685	-1.47624	0.0146476	0.0203418	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	645.5	631.5	581.5	566.5	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	547883	89561.7	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	30	1	1	30.2856	0.3875	0	-646.646	-31.35	-15.3138	-0.65331	0.756486	-0.0292749	0.756562	0.653784	0.0107883	76.0723	0.00537573	-0.138404	-0.482618	-0.114977	-0.0419227	0	0	0	0.995228	0.0	0.0	0.0120784	7	10976.5	0.837965	10.0005	18	18	18	18	0.712346	0.0292894	-0.010805	-5.18709e-05	0.00132055	0.572803	0.573797	0.485109	0.477237	-4.45783	-14.1875	-14.9111	-22.9645	-530.655	-304.045	-2066.56	-2142.01	-6.15137e-05	0.000509967	76.0848	75.9915	77.4726	77.4604	-0.000478379	-0.000465627	0.0176915	0.0186562	-0.000148481	0.00426254	0.0061742	-0.00352617	0.00411027	0.00411027	0	0	-390.417	-215.667	-1704.89	1132.28	-117.693	-113.519	3928.25	3934.39	4379.11	4347.95	6203.28	5792.78	-0.0512873	-0.0500222	-0.0417197	-0.0414457	-0.000672337	0.000592756	-0.00855571	-0.00828167	0.280902	-0.000670449	-0.0541617	-0.0618055	-0.843391	-0.355977	-0.26914	0.0150971	0.0184909	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	641.75	627.75	577.75	562.75	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	548598	107986.0	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	36	1	1	36.3226	0.466667	0	-650.586	-26.7777	-15.4854	-0.649638	0.759556	-0.0317393	0.759606	0.650228	0.0132247	76.4424	-0.178113	-0.180033	-0.486816	-0.281717	-0.21824	0	0	0	1.0	0.0	0.0	0.00739523	7	11045.0	0.843194	10.0005	18	18	18	18	0.707561	0.0317511	-0.0132474	0.00236134	0.00244246	0.574467	0.56855	0.465302	0.451851	7.05227	0.902563	-16.462	-22.6274	365.621	579.236	426.744	713.477	0.000366448	0.000871326	76.4523	76.3605	77.943	77.9553	-0.000465975	-0.000484627	0.0191462	0.0203902	0.00116821	0.00561985	0.00807705	-0.0013361	0.00252331	0.00252331	0	0	-598.265	-406.598	-1996.66	639.393	-118.53	-116.448	4041.95	4032.88	4585.69	4160.37	5644.54	5140.41	-0.0511193	-0.0501019	-0.0409	-0.0403792	-0.000504289	0.000513095	-0.00773597	-0.00721524	0.28451	0.00419662	-0.0275954	-0.0572466	0.435566	0.719554	0.206707	0.0162142	0.0224913	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	638.333	624.333	574.0	559.0	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	549530	103643.0	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	42	1	1	42.708	0.55	0	-654.739	-21.9304	-15.6768	-0.647145	0.761681	-0.0312815	0.761711	0.647725	0.0136113	76.8384	-0.197615	-0.106529	-0.477026	-0.251102	0.0824993	0	0	0	1.0	0.0	0.0	0.00154922	7	11083.0	0.846095	10.0005	18	18	18	18	0.704276	0.0313102	-0.0136333	0.00259173	0.00190057	0.58206	0.574648	0.479469	0.468888	14.9057	14.5575	22.4318	31.4558	293.219	-191.979	-416.99	164.956	0.000458948	0.000685474	76.8204	76.7823	78.212	78.2276	-0.000435342	-0.000497549	0.017734	0.0183415	-0.000252865	0.0045644	0.00799913	-0.00141374	0.000529397	0.000529397	0	0	-440.56	-211.475	-2096.99	736.754	-118.932	-128.249	4006.92	3992.28	5203.56	4716.77	6323.64	5954.37	-0.0508171	-0.0504593	-0.0412221	-0.0407155	-0.000202123	0.000155672	-0.0080581	-0.00755154	0.281793	0.00627081	0.0170699	-0.0205291	0.225053	0.583343	0.548458	0.0139716	0.018856	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	634.0	620.0	570.0	555.0	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	549718	107986.0	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	48	1	1	48.4854	0.625	0	-658.485	-17.5349	-15.8442	-0.646855	0.762032	-0.029191	0.762063	0.647359	0.012711	77.1862	-0.111488	-0.0903019	-0.471099	-0.127616	0.244777	0	0	0	1.0	0.0	0.0	-0.00143197	7	11123.5	0.849187	10.0005	18	18	18	18	0.703824	0.0292065	-0.012727	0.00146037	0.00137	0.585378	0.581369	0.491604	0.490056	4.15932	5.8879	15.9943	17.41	155.286	-278.842	435.631	-818.328	0.000248297	0.000100296	77.1475	77.1494	78.4887	78.5143	-0.000454552	-0.000471063	0.0169492	0.0172305	-0.00132377	0.00374924	0.00639354	-0.00344562	-0.000435121	-0.000435121	0	0	-301.549	-77.4027	-1838.12	1211.09	-126.3	-126.626	3969.88	3958.5	5355.31	5092.37	6781.88	6542.51	-0.0506656	-0.0507197	-0.0417763	-0.0417022	-5.06137e-05	-0.000104746	-0.00861231	-0.00853818	0.280028	0.0141672	0.0291132	0.00226206	-0.0688747	0.0327778	0.339087	0.0123244	0.0158453	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	631.0	617.0	566.0	551.0	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	549760	107986.0	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercedes	Suzuka	5809	0	1	0	54	1	1	54.2939	0.7	0	-662.248	-13.1122	-16.0012	-0.64742	0.76162	-0.0274361	0.76165	0.647847	0.011536	77.5251	-0.0280967	-0.10932	-0.455434	0.020167	0.124506	0	0	0	1.0	0.0	0.0	-0.00272607	7	11172.0	0.85289	10.0005	18	18	18	18	0.704516	0.0274644	-0.0115554	0.000378788	0.00118393	0.581391	0.580674	0.490691	0.491578	-15.8384	-10.4537	-5.03652	-6.60248	-262.496	-442.796	-70.0468	-455.181	4.43857e-05	-5.74243e-05	77.4772	77.4998	78.8403	78.8547	-0.000460974	-0.00046836	0.0171051	0.0170024	-0.00280422	0.00201741	0.0047406	-0.00503544	-0.000829163	-0.000829163	0	0	-42.366	153.844	-1485.11	1537.9	-120.325	-121.773	3938.22	3927.75	4878.96	4862.87	6586.6	6621.44	-0.0505636	-0.0508454	-0.0418856	-0.0419346	5.14016e-05	-0.000230432	-0.0087216	-0.00877063	0.279289	-0.00400863	0.0125821	0.0139689	-0.598105	-0.611601	0.0697832	0.0126527	0.0156954	0	28	18	22.2222	0	0	-1	-1	-1	0	0	1	1	1	1	1	2	0	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	81.9934	0	0	3	23	23	0.3	0.55	-0.0593412	-0.0593412	-0.0331613	-0.0331613	0.00139626	0.00139626	0.00314159	0.00314159	37	37	19	19	15	9	25	25	50	50	0.97	0.58	0.5	166853	166853	146858	146858	6	10	1	627.0	614.0	562.0	548.0	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	2	1	1	5.21077	0.58	0	1	0.0	1	549805	107986.0	4000000.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
