carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_number	lap_distance	lap_time	lap_time_invalid	world_position_X	world_position_Y	world_position_Z	world_forward_X	world_forward_Y	world_forward_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_X	gforce_Y	gforce_Z	pit_status	race_position	flags_status	throttle	brake	clutch	steering	gear	rpm	rpm_perc	fuel	tyre_compound_0	tyre_compound_1	tyre_compound_2	tyre_compound_3	yaw	pitch	roll	chassis_yaw	chassis_pitch	susp_pos_0	susp_pos_1	susp_pos_2	susp_pos_3	susp_vel_0	susp_vel_1	susp_vel_2	susp_vel_3	susp_acc_0	susp_acc_1	susp_acc_2	susp_acc_3	susp_roll_0	susp_roll_1	wheel_speed_0	wheel_speed_1	wheel_speed_2	wheel_speed_3	wheel_slip_ratio_0	wheel_slip_ratio_1	wheel_slip_ratio_2	wheel_slip_ratio_3	wheel_slip_angle_0	wheel_slip_angle_1	wheel_slip_angle_2	wheel_slip_angle_3	wheel_angle_0	wheel_angle_1	wheel_angle_2	wheel_angle_3	wheel_lat_force_0	wheel_lat_force_1	wheel_lat_force_2	wheel_lat_force_3	wheel_long_force_0	wheel_long_force_1	wheel_long_force_2	wheel_long_force_3	wheel_vert_force_0	wheel_vert_force_1	wheel_vert_force_2	wheel_vert_force_3	wheel_camber_0	wheel_camber_1	wheel_camber_2	wheel_camber_3	wheel_camber_gain_0	wheel_camber_gain_1	wheel_camber_gain_2	wheel_camber_gain_3	cog_height	angular_vel_X	angular_vel_Y	angular_vel_Z	angular_acc_X	angular_acc_Y	angular_acc_Z	aero_height_0	aero_height_1	weather	track_temp	air_temp	pitSpeedLimit	safetyCarStatus	networkGame	pitIdealLap	pitLatestLap	pitRejoinPos	steeringAssist	brakeAssist	gearAssist	pitAssist	pitReleaseAssist	ersAssist	drsAssist	racingLineAssist	racingLineTypeAssist	gameMode	ruleSet	timeOfDay	sessionLength	num_sc	num_vsc	num_red	eqCarPerf	recoveryMD	flashbackLimit	surfaceType	lowFuelMD	raceStartMD	tyreTempMD	pitTyreMD	carDamageMD	carDamageRate	collisionsMD	collisions1MD	unsafeRelMD	offGriefingMD	cornerCutMD	safetyCarMD	formLapMD	redFlagsMD	safetyCarDelta	penalties	warnings	corner_cut_warnings	startGridPosition	pitLaneTime	pitStopTime	delta_front	delta_leader	speedTrapMax	speedTrapLap	techLevel	platform	wing_setup_0	wing_setup_1	diff_onThrottle_setup	diff_offThrottle_setup	camber_setup_0	camber_setup_1	camber_setup_2	camber_setup_3	toe_setup_0	toe_setup_1	toe_setup_2	toe_setup_3	susp_spring_setup_0	susp_spring_setup_1	susp_spring_setup_2	susp_spring_setup_3	arb_setup_0	arb_setup_1	susp_height_setup_0	susp_height_setup_1	susp_height_setup_2	susp_height_setup_3	brake_press_setup	brake_bias_setup	brake_engine_setup	tyre_press_setup_0	tyre_press_setup_1	tyre_press_setup_2	tyre_press_setup_3	ballast_setup	fuel_setup	drs	brake_temp_0	brake_temp_1	brake_temp_2	brake_temp_3	tyre_temp_0	tyre_temp_1	tyre_temp_2	tyre_temp_3	tyre_tempInternalAir_0	tyre_tempInternalAir_1	tyre_tempInternalAir_2	tyre_tempInternalAir_3	tyre_press_0	tyre_press_1	tyre_press_2	tyre_press_3	terrain_0	terrain_1	terrain_2	terrain_3	engine_temp	suggested_gear	traction_ctrl_setup	abs_setup	fuel_type	fuel_remainingLaps	front_brake_bias	pit_limiter	drs_allowed	drs_distance	tyres_age	ice_power	mguk_power	ers_store	ers_deployMode	ers_harv_mguk	ers_harv_mguh	ers_deployed	tyre_wear_0	tyre_wear_1	tyre_wear_2	tyre_wear_3	tyre_damage_0	tyre_damage_1	tyre_damage_2	tyre_damage_3	tyre_blister_0	tyre_blister_1	tyre_blister_2	tyre_blister_3	brake_damage_0	brake_damage_1	brake_damage_2	brake_damage_3	front_left_wing_damage	front_right_wing_damage	rear_wing_damage	floor_damage	diffuser_damage	sidepod_damage	drs_damage	ers_damage	gear_box_damage	engine_damage	mguh_damage	es_damage	ce_damage	ice_damage	mguk_damage	tc_damage	engine_blown	engine_seized
Red Bull Racing	Suzuka	5809	0	1	0	0	1	1	0.17627	0.016	0	-627.297	-54.4077	-14.482	-0.617023	0.786218	-0.0333262	0.786645	0.617389	0.000244148	76.0771	-0.0102902	-0.187479	-0.496609	0.28183	0.288288	0	0	0	1	0	0	-0.0267339	7	10968	0.837316	10	18	18	18	18	0.665414	0.0333464	-0.000273798	0.000136018	0.0026238	0.636735	0.647426	0.511623	0.511809	0	0	0	0	-50.1037	-245.556	-664.517	-141.741	-0.000661879	-1.20533e-05	75.9643	76.1158	77.3714	77.4449	-0.000378785	-0.000498566	0.0179829	0.0170417	-0.00622023	-0.00540568	0.00171443	-0.00513401	-0.00807714	-0.00807714	0	0	425.116	1412.47	-847.003	1591.18	-100.609	-142.289	4069.1	3955.24	5088	5679.92	6566.26	6686.45	-0.0517315	-0.0542102	-0.0428687	-0.0427777	0.000628531	-0.00185019	-0.00795873	-0.00786766	0.278454	0.023705	0.0284213	0.0984399	-0.132061	0.674737	1.50107	0.00920112	0.0159438	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	-0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	640	620	608	584	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	548678	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	1	1	1	1.44515	0.0326667	0	-628.082	-53.4103	-14.5198	-0.618695	0.78494	-0.0325431	0.785347	0.61904	0.000264495	76.1579	0.0698675	-0.182663	-0.501486	0.38433	0.303075	0	0	0	1	0	0	-0.0265416	7	10978.3	0.838105	10	18	18	18	18	0.667515	0.0325675	-0.000293335	-0.000914832	0.00256443	0.63605	0.649452	0.511309	0.51403	0	0	0	0	-143.552	-479.016	-342.701	-236.329	-0.000829701	-0.000176309	76.032	76.208	77.4435	77.5191	-0.000396444	-0.000481487	0.0180093	0.0168054	-0.00681778	-0.00595738	0.000346185	-0.00650399	-0.00805216	-0.00805216	0	0	508.77	1499.71	-571.698	1894.13	-104.493	-137.862	4068.33	3955.17	5040.74	5735.56	6536.29	6860.53	-0.051649	-0.0543271	-0.0428186	-0.0428658	0.000711024	-0.00196713	-0.00790862	-0.00795575	0.277924	0.0290469	0.02821	0.112439	-0.159728	0.456653	1.14767	0.00896049	0.0155507	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	639.333	619	607.333	583	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	548823	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	2	1	1	2.71403	0.0493333	0	-628.867	-52.4129	-14.5575	-0.620363	0.783658	-0.0317598	0.784044	0.620688	0.000284841	76.2386	0.150025	-0.177846	-0.49927	0.482424	0.313699	0	0	0	1	0	0	-0.0263493	7	10988.7	0.838894	10	18	18	18	18	0.669616	0.0317886	-0.000312872	-0.00196568	0.00250506	0.635365	0.651478	0.510994	0.51625	0	0	0	0	-237	-712.475	-20.8854	-330.918	-0.000997524	-0.000340564	76.0996	76.3003	77.5155	77.5933	-0.000414102	-0.000464408	0.0180358	0.016569	-0.00741532	-0.00650909	-0.00102206	-0.00787397	-0.00802719	-0.00802719	0	0	592.425	1586.94	-296.392	2197.08	-108.377	-133.435	4067.56	3955.09	4993.48	5791.19	6506.32	7034.61	-0.0515665	-0.0544441	-0.0427685	-0.0429538	0.000793517	-0.00208408	-0.00785852	-0.00804385	0.277395	0.034356	0.0279622	0.126305	-0.189122	0.231748	0.784827	0.00871986	0.0151576	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	638.667	618	606.667	582	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	548969	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	3	1	1	3.98291	0.066	0	-629.653	-51.4155	-14.5953	-0.622028	0.782373	-0.0309763	0.782739	0.622333	0.000305185	76.3193	0.230183	-0.173029	-0.492873	0.575254	0.321549	0	0	0	1	0	0	-0.026157	7	10999	0.839682	10	18	18	18	18	0.671717	0.0310097	-0.000332408	-0.00301653	0.0024457	0.634681	0.653504	0.510679	0.518471	0	0	0	0	-330.448	-945.935	300.93	-425.506	-0.00116535	-0.000504819	76.1672	76.3926	77.5876	77.6675	-0.00043176	-0.00044733	0.0180622	0.0163327	-0.00801287	-0.00706079	-0.00239031	-0.00924395	-0.00800221	-0.00800221	0	0	676.079	1674.17	-21.0866	2500.02	-112.261	-129.008	4066.79	3955.02	4946.22	5846.83	6476.35	7208.69	-0.051484	-0.054561	-0.0427184	-0.0430419	0.000876009	-0.00220102	-0.00780841	-0.00813194	0.276865	0.0396376	0.027697	0.140076	-0.206854	-0.00297781	0.381893	0.00847923	0.0147645	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	-0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	638	617	606	581	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	549114	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	4	1	1	4.93787	0.0785	0	-630.247	-50.6674	-14.6219	-0.623382	0.7813	-0.0306941	0.781659	0.623687	0.000343335	76.3781	0.275709	-0.184307	-0.490383	0.622254	0.301582	0	0	0	1	0	0	-0.0249681	7	11008.5	0.840408	10	18	18	18	18	0.673447	0.0307228	-0.000366477	-0.00360893	0.00245795	0.633312	0.653108	0.509897	0.518695	0	0	0	0	-81.4184	-540.056	42.8248	-562.007	-0.00122555	-0.000569996	76.2276	76.4512	77.6583	77.7307	-0.000436875	-0.000438469	0.0181564	0.0163641	-0.00827739	-0.00731424	-0.00297365	-0.00983428	-0.00765867	-0.00765867	0	0	711.286	1709.71	98.8627	2616.36	-112.85	-126.414	4049.92	3950.18	4881.64	5829.66	6388.39	7213.2	-0.0515175	-0.0545009	-0.0427239	-0.0430881	0.000842452	-0.00214091	-0.00781386	-0.00817811	0.277228	0.0315606	0.0218163	0.139268	-0.321398	-0.050187	0.293455	0.0086058	0.0149225	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	637.25	616.5	605.25	580.5	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	549250	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	5	1	1	5.89282	0.091	0	-630.841	-49.9193	-14.6484	-0.624733	0.780226	-0.0304119	0.780577	0.625038	0.000381484	76.4368	0.321236	-0.195585	-0.486475	0.6677	0.280652	0	0	0	1	0	0	-0.0237791	7	11018	0.841133	10	18	18	18	18	0.675178	0.0304359	-0.000400546	-0.00420132	0.0024702	0.631943	0.652712	0.509114	0.518918	0	0	0	0	167.611	-134.177	-215.281	-698.507	-0.00128576	-0.000635173	76.288	76.5098	77.7289	77.7939	-0.00044199	-0.000429608	0.0182507	0.0163956	-0.0085419	-0.00756769	-0.00355699	-0.0104246	-0.00731513	-0.00731513	0	0	746.492	1745.24	218.812	2732.7	-113.438	-123.821	4033.04	3945.35	4817.06	5812.5	6300.43	7217.71	-0.0515511	-0.0544408	-0.0427293	-0.0431343	0.000808895	-0.0020808	-0.00781932	-0.00822427	0.27759	0.0232771	0.01579	0.137885	-0.421457	-0.113911	0.0681922	0.00873237	0.0150805	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	636.5	616	604.5	580	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	549386	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	6	1	1	6.84778	0.1035	0	-631.435	-49.1712	-14.6749	-0.626082	0.779149	-0.0301295	0.779492	0.626388	0.000419631	76.4956	0.366763	-0.206863	-0.481391	0.711511	0.259052	0	0	0	1	0	0	-0.0225902	7	11027.5	0.841858	10	18	18	18	18	0.676908	0.030149	-0.000434614	-0.00479372	0.00248244	0.630575	0.652316	0.508332	0.519141	0	0	0	0	416.641	271.701	-473.386	-835.008	-0.00134597	-0.00070035	76.3484	76.5684	77.7996	77.8572	-0.000447104	-0.000420746	0.0183449	0.016427	-0.00880641	-0.00782113	-0.00414034	-0.0110149	-0.00697158	-0.00697158	0	0	781.699	1780.77	338.761	2849.04	-114.026	-121.227	4016.16	3940.51	4752.47	5795.34	6212.47	7222.21	-0.0515847	-0.0543807	-0.0427348	-0.0431804	0.000775337	-0.00202069	-0.00782477	-0.00827044	0.277953	0.0148754	0.00968323	0.135838	-0.384899	-0.140156	-0.175527	0.00885894	0.0152385	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	635.75	615.5	603.75	579.5	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	549521	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	7	1	1	7.80273	0.116	0	-632.029	-48.4231	-14.7015	-0.62743	0.778069	-0.0298471	0.778405	0.627735	0.000457778	76.5543	0.412289	-0.218141	-0.475359	0.75367	0.237033	0	0	0	1	0	0	-0.0214012	7	11037	0.842583	10	18	18	18	18	0.678639	0.0298622	-0.000468683	-0.00538611	0.00249469	0.629206	0.651919	0.507549	0.519365	0	0	0	0	665.671	677.58	-731.492	-971.509	-0.00140618	-0.000765527	76.4088	76.627	77.8703	77.9204	-0.000452219	-0.000411885	0.0184391	0.0164585	-0.00907093	-0.00807458	-0.00472368	-0.0116053	-0.00662804	-0.00662804	0	0	816.905	1816.31	458.711	2965.38	-114.615	-118.633	3999.28	3935.68	4687.89	5778.18	6124.51	7226.72	-0.0516182	-0.0543206	-0.0427402	-0.0432266	0.00074178	-0.00196058	-0.00783022	-0.0083166	0.278316	0.00647134	0.003581	0.133055	-0.307011	-0.135909	-0.298749	0.0089855	0.0153965	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	-0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	635	615	603	579	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	549657	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	8	1	1	8.76062	0.1285	0	-632.628	-47.6756	-14.7269	-0.628615	0.777118	-0.029687	0.777454	0.628912	0.000618002	76.6114	0.432276	-0.216827	-0.478873	0.767344	0.183185	0	0	0	1	0	0	-0.0202431	7	11046.8	0.843328	10	18	18	18	18	0.680153	0.0297044	-0.000626343	-0.00564204	0.00248966	0.627495	0.651344	0.505659	0.517438	0	0	0	0	432.56	386.587	-292.77	-538.893	-0.00147649	-0.00076316	76.4703	76.6795	77.9433	77.9846	-0.000459357	-0.000412366	0.0185936	0.016619	-0.00912577	-0.00809885	-0.00488993	-0.0117385	-0.00626376	-0.00626376	0	0	832.405	1798.56	493.506	2976.64	-114.147	-117.445	3999.96	3948.54	4543.05	5671.2	6034.68	7140.79	-0.0516773	-0.0542476	-0.0426313	-0.0431297	0.000682652	-0.00188756	-0.00772127	-0.00821971	0.27781	0.00862476	-0.000167519	0.127532	-0.351454	-0.242339	-0.356441	0.0093556	0.0157537	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	634.5	614.5	602.5	578.25	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	549667	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Bull Racing	Suzuka	5809	0	1	0	9	1	1	9.71851	0.141	0	-633.228	-46.9282	-14.7524	-0.629798	0.776166	-0.0295268	0.776501	0.630088	0.000778226	76.6686	0.452263	-0.215514	-0.480651	0.778293	0.128267	0	0	0	1	0	0	-0.019085	7	11056.5	0.844072	10	18	18	18	18	0.681668	0.0295466	-0.000784003	-0.00589797	0.00248462	0.625785	0.650769	0.503769	0.515512	0	0	0	0	199.449	95.5939	145.952	-106.276	-0.0015468	-0.000760794	76.5318	76.7319	78.0162	78.0489	-0.000466495	-0.000412846	0.0187481	0.0167795	-0.00918061	-0.00812313	-0.00505619	-0.0118717	-0.00589948	-0.00589948	0	0	847.905	1780.81	528.302	2987.9	-113.679	-116.257	4000.65	3961.4	4398.21	5564.22	5944.85	7054.86	-0.0517365	-0.0541745	-0.0425223	-0.0430328	0.000623524	-0.00181454	-0.00761231	-0.00812282	0.277305	0.0107749	-0.00392719	0.121848	-0.390443	-0.346178	-0.408797	0.00972569	0.0161108	0	26	18	22.2222	0	0	-1	-1	-1	0	0	3	1	1	1	1	2	1	5	2	722	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	83.021	1	0	1	21	21	0.6	0.55	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0	0	0.00174533	0.00174533	21	21	20	20	1	6	20	20	45	45	1	0.55	0.5	203395	203395	182711	182711	6	10	1	634	614	602	577.5	97	97	97	97	97	97	97	97	207316	207316	186233	186233	0	0	0	0	110	0	2	1	1	5.21053	0.55	0	1	0	1	549677	107986	4e+06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
